country,data,rank
USA,224,1
China,90,2
Japan,74,3
United Kingdom,65,4
Germany,56,5
France,48,6
Italy,48,7
Spain,41,8
South Korea,36,9
Canada,32,10
Australia,27,11
Taiwan,21,12
Brazil,17,13
India,16,14
Netherlands,13,15
Austria,12,16
Sweden,11,17
Belgium,10,18
Turkey,10,19
Finland,9,20
Poland,9,21
Switzerland,9,22
Iran,8,23
Ireland,8,24
Greece,7,25
Israel,7,26
Hong Kong,6,27
Hungary,6,28
New Zealand,6,29
Portugal,6,30
Denmark,5,31
Norway,5,32
Russia,5,33
South Africa,5,34
Chile,4,35
Czech Republic,4,36
Egypt,4,37
Argentina,3,38
Malaysia,3,39
Saudi Arabia,3,40
Thailand,3,41
Colombia,2,42
Mexico,2,43
Romania,2,44
Singapore,2,45
Slovenia,2,46
Bulgaria,1,47
Croatia,1,48
Cyprus,1,49
Estonia,1,50
Iceland,1,51
Lebanon,1,52
Lithuania,1,53
Pakistan,1,54
Puerto Rico,1,55
Serbia,1,56
Slovak Republic,1,57
Uganda,1,58
United Arab Emirates,1,59
Uruguay,1,60
