country,data,rank
USA,225,1
China,97,2
Japan,71,3
United Kingdom,65,4
Germany,57,5
Italy,48,6
France,44,7
Spain,40,8
South Korea,36,9
Canada,32,10
Australia,27,11
Taiwan,20,12
Brazil,18,13
India,15,14
Netherlands,13,15
Austria,12,16
Sweden,11,17
Belgium,10,18
Turkey,10,19
Finland,9,20
Switzerland,9,21
Iran,8,22
Ireland,8,23
Greece,7,24
Israel,7,25
Poland,7,26
Hong Kong,6,27
Hungary,6,28
New Zealand,6,29
Portugal,6,30
South Africa,6,31
Denmark,5,32
Norway,5,33
Russia,5,34
Chile,4,35
Czech Republic,4,36
Egypt,4,37
Argentina,3,38
Malaysia,3,39
Saudi Arabia,3,40
Thailand,3,41
Colombia,2,42
Mexico,2,43
Romania,2,44
Singapore,2,45
Slovenia,2,46
Bulgaria,1,47
Croatia,1,48
Cyprus,1,49
Estonia,1,50
Iceland,1,51
Lebanon,1,52
Lithuania,1,53
Macau,1,54
Pakistan,1,55
Puerto Rico,1,56
Serbia,1,57
Slovak Republic,1,58
Uganda,1,59
United Arab Emirates,1,60
Uruguay,1,61
