country,data,rank
USA,218,1
China,114,2
United Kingdom,63,3
France,58,4
Germany,55,5
Japan,49,6
Italy,47,7
South Korea,35,8
Spain,35,8
Canada,27,10
Australia,26,11
Brazil,21,12
India,17,13
Taiwan,14,14
Netherlands,13,15
Poland,13,15
Sweden,12,17
Austria,10,18
Iran,10,18
Switzerland,10,18
Turkey,10,18
Belgium,9,22
Finland,8,23
Israel,7,24
Russia,7,24
South Africa,7,24
Greece,6,27
Hong Kong,6,27
Ireland,6,27
New Zealand,6,27
Norway,6,27
Portugal,6,27
Denmark,5,33
Hungary,5,33
Malaysia,5,33
Chile,4,36
Czech Republic,4,36
Egypt,4,36
Mexico,4,36
Saudi Arabia,4,36
Argentina,3,41
Pakistan,3,41
Romania,3,41
Thailand,3,41
Colombia,2,45
Croatia,2,45
Singapore,2,45
Belarus,1,48
Bulgaria,1,48
Cyprus,1,48
Estonia,1,48
Iceland,1,48
Lebanon,1,48
Lithuania,1,48
Luxembourg,1,48
Macau,1,48
Serbia,1,48
Slovak Republic,1,48
Slovenia,1,48
Tunisia,1,48
Uganda,1,48
United Arab Emirates,1,48
Uruguay,1,48
