Code,2014,2014Rank,2015,2015Rank,2016,2016Rank,2017,2017Rank,2018,2018Rank,2019,2019Rank,2020,2020Rank,2021,2021Rank,2022,2022Rank,2023,2023Rank
RUS,3.0,40.0,5.0,34.0,5.0,33.0,5.0,34.0,5.0,36.0,7.0,24.0,14.0,14.0,17.0,13.0,16.0,14.0,15.0,14.0
THA,3.0,41.0,3.0,41.0,3.0,41.0,3.0,41.0,4.0,41.0,3.0,41.0,3.0,40.0,3.0,40.0,3.0,40.0,3.0,40.0
COL,2.0,42.0,2.0,42.0,2.0,42.0,2.0,42.0,3.0,43.0,2.0,45.0,2.0,43.0,2.0,42.0,2.0,42.0,2.0,43.0
MEX,2.0,43.0,2.0,43.0,2.0,43.0,2.0,43.0,4.0,39.0,4.0,36.0,5.0,30.0,5.0,30.0,5.0,30.0,4.0,35.0
SGP,2.0,44.0,2.0,45.0,2.0,45.0,2.0,45.0,2.0,47.0,2.0,45.0,2.0,43.0,2.0,42.0,2.0,42.0,3.0,40.0
SVN,2.0,45.0,2.0,46.0,2.0,46.0,2.0,46.0,2.0,48.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
BGR,1.0,46.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,49.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
HRV,1.0,47.0,1.0,48.0,1.0,48.0,1.0,48.0,2.0,46.0,2.0,45.0,2.0,43.0,2.0,42.0,2.0,42.0,2.0,43.0
CYP,1.0,48.0,1.0,49.0,1.0,49.0,1.0,49.0,1.0,50.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
EST,1.0,49.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,51.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
ISL,1.0,50.0,1.0,51.0,1.0,51.0,1.0,51.0,1.0,52.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
LBN,1.0,51.0,1.0,52.0,1.0,52.0,1.0,52.0,1.0,53.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
LTU,1.0,52.0,1.0,53.0,1.0,53.0,1.0,53.0,1.0,54.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
PRI,1.0,53.0,1.0,54.0,1.0,55.0,1.0,56.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0
ROU,1.0,54.0,2.0,44.0,2.0,44.0,2.0,44.0,3.0,45.0,3.0,41.0,3.0,40.0,2.0,42.0,2.0,42.0,2.0,43.0
SRB,1.0,55.0,1.0,55.0,1.0,56.0,1.0,57.0,1.0,57.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
SVK,1.0,56.0,1.0,56.0,1.0,57.0,1.0,58.0,1.0,58.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
UGA,1.0,57.0,1.0,57.0,1.0,58.0,1.0,59.0,1.0,60.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
ARE,1.0,58.0,1.0,58.0,1.0,59.0,1.0,60.0,0.0,300.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
URY,1.0,59.0,1.0,59.0,1.0,60.0,1.0,61.0,1.0,61.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
PAK,0.0,300.0,0.0,300.0,1.0,54.0,1.0,55.0,3.0,44.0,3.0,41.0,2.0,43.0,2.0,42.0,2.0,42.0,2.0,43.0
MAC,0.0,300.0,0.0,300.0,0.0,300.0,1.0,54.0,1.0,55.0,1.0,48.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0
NGA,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,56.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0
TUN,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,59.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
BLR,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
LUX,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,48.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
ARM,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
GEO,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,47.0,1.0,47.0,1.0,47.0,1.0,47.0
MAR,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,47.0,1.0,47.0,1.0,47.0
QAT,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,47.0,1.0,47.0,1.0,47.0
ETH,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,0.0,300.0,1.0,47.0
