country,data,rank
USA,51,1
United Kingdom,8,2
Australia,4,3
Canada,4,3
France,4,3
Switzerland,4,3
Germany,3,7
Israel,3,7
Japan,3,7
Netherlands,3,7
Sweden,3,7
China,2,12
Denmark,2,12
Brazil,1,14
Finland,1,14
Italy,1,14
Norway,1,14
South Korea,1,14
Spain,1,14
