country,data,rank
USA,50,1
United Kingdom,9,2
Germany,6,3
China,5,4
France,5,4
Canada,4,6
Japan,4,6
Netherlands,4,6
Australia,2,9
Israel,2,9
Sweden,2,9
Switzerland,2,9
Denmark,1,13
Norway,1,13
Singapore,1,13
South Korea,1,13
Taiwan,1,13
