country,data,rank
USA,54,1
United Kingdom,7,2
Japan,6,3
France,4,4
Switzerland,4,4
Australia,3,6
Canada,3,6
Israel,3,6
Belgium,2,9
China,2,9
Germany,2,9
Netherlands,2,9
Denmark,1,13
Italy,1,13
Norway,1,13
Russia,1,13
Singapore,1,13
South Korea,1,13
Sweden,1,13
Taiwan,1,13
