country,data,rank
USA,51,1
United Kingdom,10,2
France,5,3
Germany,5,3
Japan,4,5
Netherlands,4,5
Switzerland,4,5
Canada,3,8
China,3,8
Australia,2,10
Israel,2,10
Sweden,2,10
Denmark,1,13
Norway,1,13
Singapore,1,13
South Korea,1,13
Taiwan,1,13
