country,data,rank
USA,55,1
Japan,7,2
United Kingdom,7,2
France,4,4
Switzerland,4,4
Canada,3,6
Israel,3,6
Australia,2,8
China,2,8
Germany,2,8
Netherlands,2,8
South Korea,2,8
Belgium,1,13
Denmark,1,13
Norway,1,13
Russia,1,13
Singapore,1,13
Sweden,1,13
Taiwan,1,13
