country,
Denmark,1
Norway,1
Singapore,1
South Korea,1
Australia,2
Israel,2
Sweden,2
Japan,3
Switzerland,3
Canada,4
Netherlands,4
France,5
China,6
Germany,6
United Kingdom,9
USA,50
