country,data,rank
USA,55,1
United Kingdom,7,2
Japan,6,3
France,4,4
Switzerland,4,4
Australia,3,6
Canada,3,6
Israel,3,6
China,2,9
Germany,2,9
Netherlands,2,9
Belgium,1,12
Denmark,1,12
Italy,1,12
Norway,1,12
Russia,1,12
Singapore,1,12
South Korea,1,12
Sweden,1,12
Taiwan,1,12
