country,data,rank
USA,58,1
United Kingdom,7,2
France,5,3
Japan,5,3
Israel,4,5
Switzerland,4,5
Canada,3,7
Germany,3,7
Australia,2,9
Netherlands,2,9
Denmark,1,11
Finland,1,11
Italy,1,11
Norway,1,11
South Korea,1,11
Sweden,1,11
