country,data,rank
USA,54,1
United Kingdom,8,2
France,5,3
Canada,4,4
Germany,4,4
Japan,4,4
Netherlands,4,4
China,3,8
Switzerland,3,8
Australia,2,10
Denmark,2,10
Israel,2,10
Norway,1,13
Singapore,1,13
South Korea,1,13
Sweden,1,13
Taiwan,1,13
